text,department,priority
Drainage water is entering homes in Sector 21 after every rain.,Sanitation,High
There has been no water supply in Sector 8 for three days.,Water Supply,High
The electric pole near Model Town is leaning dangerously.,Electricity,High
Foul smell from accumulated garbage is spreading in Andheri West.,Waste Management,High
Streetlight poles have fallen on the road in Sector 21.,Roads & Infrastructure,High
Construction waste has been dumped illegally in Ward 5.,Waste Management,Medium
Frequent breakdowns of buses on the route through the industrial area are causing delays.,Public Transport,Medium
"No water supply since morning in Nehru Colony, please send a tanker.",Water Supply,High
Buses are overcrowded on the route passing through the main market area.,Public Transport,Low
The electric pole near Civil Lines is leaning dangerously.,Electricity,High
The community toilet complex in Civil Lines has no water supply.,Sanitation,Medium
Public property was vandalized near Ward 5 last night.,Others,Medium
A drain near Lake View Colony is blocked and causing a foul smell.,Sanitation,Medium
There is no bus connectivity to the new colony near the old city area.,Public Transport,Medium
Fireworks are being burst illegally at odd hours in the main market area.,Others,Low
A loudspeaker is being used past permitted hours near Sector 12.,Others,Low
There is a persistent water shortage in Andheri West during summer.,Water Supply,Medium
No wheelchair access is available at the bus stop in Sector 12.,Public Transport,Medium
The boundary wall of the park in Green Park has collapsed.,Parks,Medium
The walking track in the park near the industrial area is damaged.,Parks,Low
The boundary wall of the park in Shastri Nagar has collapsed.,Parks,Medium
Construction waste has been dumped illegally in Shastri Nagar.,Waste Management,Medium
There is no footover bridge near the busy crossing in Model Town.,Roads & Infrastructure,Low
There is no bus connectivity to the new colony near Green Park.,Public Transport,Medium
No street lights are working on the main road of Sector 21.,Electricity,Medium
The public transport app shows wrong routes for Andheri West.,Public Transport,Low
Anti-social elements gather in the park at Rajaji Nagar at night.,Parks,Medium
The bus stop shelter near the main market area is broken and offers no cover.,Public Transport,Low
No street lights are working on the main road of the main market area.,Electricity,Medium
Frequent power cuts are affecting households in Civil Lines.,Electricity,Medium
Construction debris has been left on the road in Sector 21 for weeks.,Roads & Infrastructure,Medium
The public garden near Andheri West lacks proper waste bins.,Parks,Low
Faulty wiring in the streetlight box near MG Road is sparking.,Electricity,High
Sewage water is overflowing onto the street in Sector 8.,Sanitation,High
Construction debris has been left on the road in MG Road for weeks.,Roads & Infrastructure,Medium
Encroachment by vendors is blocking the pavement in the railway colony.,Others,Low
Transformer exploded and wires are sparking near Civil Lines.,Electricity,High
Garbage collection timings in Koramangala keep changing randomly.,Waste Management,Low
Park equipment in Andheri West has not been maintained for months.,Parks,Low
Noise pollution from a nearby factory in the old city area continues at night.,Others,Medium
Low water pressure in the pipeline near Rajaji Nagar.,Water Supply,Low
"A manhole cover is missing near the industrial area, causing bad odor.",Sanitation,Medium
Mosquito breeding is increasing due to stagnant drain water in Sector 21.,Sanitation,High
The auto-rickshaw stand near Sector 12 has no proper signage.,Public Transport,Low
A large heap of uncollected waste is rotting near Sector 21.,Waste Management,High
Medical waste was found dumped near a residential area in Vasant Vihar.,Waste Management,High
The garbage truck skipped Vasant Vihar again this week.,Waste Management,Low
Buses are overcrowded on the route passing through the housing board colony.,Public Transport,Low
The community toilet complex in Model Town has no water supply.,Sanitation,Medium
Power supply in Koramangala has not been restored after yesterday's cut.,Electricity,High
Streetlight poles have fallen on the road in Andheri West.,Roads & Infrastructure,High
The public toilet near Nehru Colony is extremely unhygienic.,Sanitation,Medium
Low water pressure in the pipeline near Sector 8.,Water Supply,Low
The electric pole near the housing board colony is leaning dangerously.,Electricity,High
A large heap of uncollected waste is rotting near Sector 8.,Waste Management,High
Conductors on the route through the old city area are misbehaving with passengers.,Public Transport,Medium
Unauthorized construction is taking place near the housing board colony.,Others,Medium
Illegal parking is blocking the entrance of Koramangala society.,Others,Low
The bus stop shelter near Sector 21 is broken and offers no cover.,Public Transport,Low
"Road markings near Lake View Colony have faded, causing confusion for drivers.",Roads & Infrastructure,Low
The fountain in the park near Sector 12 has been non-functional for a year.,Parks,Low
The garbage truck skipped Shastri Nagar again this week.,Waste Management,Low
There is no footover bridge near the busy crossing in Ward 5.,Roads & Infrastructure,Low
Water supply timing in Koramangala has been reduced without notice.,Water Supply,Low
Water supply has been irregular in Koramangala for the past week.,Water Supply,Medium
Water supply has been irregular in the main market area for the past week.,Water Supply,Medium
"No water supply since morning in Sector 21, please send a tanker.",Water Supply,High
The water meter installed in Green Park seems faulty and overbilling.,Water Supply,Low
The public transport app shows wrong routes for the housing board colony.,Public Transport,Low
Garbage is piling up on the street corner in MG Road.,Waste Management,Medium
Water supply timing in Green Park has been reduced without notice.,Water Supply,Low
The community dustbin in Vasant Vihar has not been emptied in days.,Waste Management,Low
Dead animals have been left uncollected near Andheri West.,Waste Management,High
Voltage fluctuation is damaging appliances in Sector 21.,Electricity,Medium
Faulty wiring in the streetlight box near Sector 12 is sparking.,Electricity,High
The auto-rickshaw stand near the railway colony has no proper signage.,Public Transport,Low
Water is leaking continuously from a broken pipe in the industrial area.,Water Supply,Medium
The bus service to Sector 8 has been irregular for a month.,Public Transport,Medium
Foul smell from accumulated garbage is spreading in Ward 5.,Waste Management,High
The local train service near Sector 21 was delayed by two hours.,Public Transport,Medium
Frequent power cuts are affecting households in the railway colony.,Electricity,Medium
"A manhole cover is missing near Vasant Vihar, causing bad odor.",Sanitation,Medium
